Parameter,Type,Min,Max,Default,Example,Description
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-bitingrisk-disqualifying-properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-bitingrisk-dont-allow-duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Intervention_Name,string,NA,NA,BitingRisk,[example](../json/campaign-bitingrisk-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-bitingrisk-new-property-value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. "
Risk_Constant,float,0,3.40282E+38,6,[example](../json/campaign-bitingrisk-risk-constant.json),The risk to use for all individuals when **Risk_Distribution** is set to CONSTANT_DISTRIBUTION.
Risk_Distribution,enum,NA,NA,NOT_INITIALIZED,[example](../json/campaign-bitingrisk-risk-distribution.json),"The distribution type to use for assigning the relative risk of being bitten by a mosquito to each individual. Each assigned value is a random draw from the distribution.<br>Possible values are:<br>NOT_INITIALIZED<br>    No distribution set. <br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Risk_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a uniform distribution with a given minimum and maximum. Set **Risk_Max** and **Risk_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is Gaussian (or normal). Values are resampled to ensure >= 0. Set **Risk_Gaussian_Mean** and **Risk_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is exponential with a given mean. Set **Risk_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a Weibull distribution with a given shape and scale. Set **Risk_Kappa** and **Risk_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a log-normal distribution with a given mean and width. Set **Risk_Log_Normal_Mean** and **Risk_Log_Normal_Width**.<br>POISSON_DISTRIBUTION<br>    Use a Poisson distribution with a given mean. Set **Risk_Poisson_Mean**. <br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Risk_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two exponential distributions with given means. Set **Risk_Mean_1**, **Risk_Mean_2**, and **Risk_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION."
Risk_Exponential,float,0,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-exponential.json),The mean of the biting risk when **Risk_Distribution** is set to EXPONENTIAL_DISTRIBUTION.
Risk_Gaussian_Mean,float,0,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-gaussian-mean.json),The mean of the biting risk when **Risk_Distribution** is set to GAUSSIAN_DISTRIBUTION.
Risk_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-gaussian-std-dev.json),The standard deviation of the biting risk when **Risk_Distribution** is set to GAUSSIAN_DISTRIBUTION.
Risk_Kappa,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-kappa.json),The shape value for the biting risk when **Risk_Distribution** is set to WEIBULL_DISTRIBUTION.
