Parameter,Type,Min,Max,Default,Example,Description
Amount_In_Shipment,integer,1,2147480000.0,2147480000.0,[example](../json/campaign-communityhealthworkereventcoordinator-amount-in-shipment.json),The number of interventions (such as vaccine doses) that a health worker or clinic receives in a shipment. Interventions can only be distributed if they are in stock; stock is updated every **Days_Between_Shipments** with the **Amount_In_Shipment**.
Days_Between_Shipments,float,1,3.40282e+38,3.40E+38,[example](../json/campaign-communityhealthworkereventcoordinator-days-between-shipments.json),The number of days to wait before a clinic or health worker receives a new shipment of interventions (such as vaccine doses). Interventions can only be distributed if they are in stock; stock is updated every **Days_Between_Shipments** with the **Amount_In_Shipment**.
Demographic_Coverage,float,0,1,1,[example](../json/campaign-communityhealthworkereventcoordinator-demographic-coverage.json),The fraction of individuals in the target demographic that will receive this intervention.
Duration,float,0,3.40282e+38,3.40E+38,[example](../json/campaign-communityhealthworkereventcoordinator-duration.json),The number of days for an event coordinator to be active before it expires.
Initial_Amount_Constant,float,0,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-constant.json),The initial amount to use for all health workers when **Initial_Amount_Distribution** is set to CONSTANT_DISTRIBUTION.
Initial_Amount_Distribution,enum,NA,NA,NOT_INITIALIZED,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-distribution.json),"The distribution type to use for assigning the initial amount of interventions in stock. Each assigned value is a random draw from the distribution.<br>Possible values are:<br>NOT_INITIALIZED<br>    No distribution set. <br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Initial_Amount_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a uniform distribution with a given minimum and maximum. Set **Initial_Amount_Max** and **Initial_Amount_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is Gaussian (or normal). Values are resampled to ensure >= 0. Set **Initial_Amount_Gaussian_Mean** and **Initial_Amount_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is exponential with a given mean. Set **Initial_Amount_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a Weibull distribution with a given shape and scale. Set **Initial_Amount_Kappa** and **Initial_Amount_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a log-normal distribution with a given mean and standard deviation of the natural log. Set **Initial_Amount_Log_Normal_Mu** and **Initial_Amount_Log_Normal_Sigma**.<br>POISSON_DISTRIBUTION<br>    Use a Poisson distribution with a given mean. Set **Initial_Amount_Poisson_Mean**. <br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Initial_Amount_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two exponential distributions with given means. Set **Initial_Amount_Mean_1**, **Initial_Amount_Mean_2**, and **Initial_Amount_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION."
Initial_Amount_Exponential,float,0,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-exponential.json),The mean of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to EXPONENTIAL_DISTRIBUTION.
Initial_Amount_Gaussian_Mean,float,0,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-gaussian-mean.json),The mean of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to GAUSSIAN_DISTRIBUTION.
Initial_Amount_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-gaussian-std-dev.json),The standard deviation of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to GAUSSIAN_DISTRIBUTION.
Initial_Amount_Kappa,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-kappa.json),The shape value for the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to WEIBULL_DISTRIBUTION.
Initial_Amount_Lambda,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-lambda.json),The scale value for the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to WEIBULL_DISTRIBUTION.
Initial_Amount_Log_Normal_Mu,float,-3.40282e+38,1.70141e+38,3.40282E+38,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-log-normal-mu.json),The mean of the natural log of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to LOG_NORMAL_DISTRIBUTION.
Initial_Amount_Log_Normal_Sigma,float,-3.40282e+38,3.40282E+38,1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-log-normal-sigma.json),The standard deviation of the natural log of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to LOG_NORMAL_DISTRIBUTION.
Initial_Amount_Max,float,0,3.40282E+38,1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-max.json),The maximum initial amount of intervention in stock when **Initial_Amount_Distribution** is set to UNIFORM_DISTRIBUTION.
Initial_Amount_Mean_1,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-mean-1.json),The mean of the first exponential distribution when **Initial_Amount_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
Initial_Amount_Mean_2,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-mean-2.json),The mean of the second exponential distribution when **Initial_Amount_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
Initial_Amount_Min,float,0,3.40282e+38,0,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-min.json),The minimum of initial amount of intervention in stock when **Initial_Amount_Distribution** is set to UNIFORM_DISTRIBUTION.
Initial_Amount_Peak_2_Value,float,0,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-peak-2-value.json),The initial amount in stock to assign to the remaining health workers when **Initial_Amount_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.
Initial_Amount_Poisson_Mean,float,0,3.40282E+38,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-poisson-mean.json),The mean of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to the POISSON_DISTRIBUTION.
Initial_Amount_Proportion_0,float,0,1,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-proportion-0.json),The proportion of health workers to assign a value of zero stock when **Initial_Amount_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.
Initial_Amount_Proportion_1,float,0,1,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-proportion-1.json),The proportion of health workers in the first exponential distribution when **Initial_Amount_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
Intervention_Config,json object,NA,NA,NA,[example](../json/campaign-communityhealthworkereventcoordinator-intervention-config.json),The nested JSON of the actual intervention to be distributed by this event coordinator.
Max_Distributed_Per_Day,integer,1,2147480000.0,2147480000.0,[example](../json/campaign-communityhealthworkereventcoordinator-max-distributed-per-day.json),The maximum number of interventions (such as vaccine doses) that can be distributed by health workers or clinics in a given day.
Max_Stock,integer,0,2147480000.0,2147480000.0,[example](../json/campaign-communityhealthworkereventcoordinator-max-stock.json),"The maximum number of interventions (such as vaccine doses) that can be stored by a health worker or clinic. If the amount of interventions in a new shipment and current stock exceeds this value, only the number of interventions specified by this value will be stored."
Node_Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-communityhealthworkereventcoordinator-node-property-restrictions.json),"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>You can specify AND and OR combinations of key:value pairs with this parameter."
Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-communityhealthworkereventcoordinator-property-restrictions.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator."
