Parameter,Type,Min,Max,Default,Example,Description
Action_List,array of json objects,,,[],[example](../json/campaign-incidenceeventcoordinator-action-list.json),"List (array) of JSON objects, including the values specified in the following parameters: **Threshold**, **Event_Type**, **Event_To_Broadcast**."
Coordinator_Name,string,NA,NA,"""""",,"The unique identifying coordinator name, which is useful with the output report, ReportCoordinatorEventRecorder.csv."
Count_Events_For_Num_Timesteps,boolean,0,1,1,[example](../json/campaign-incidenceeventcoordinator-count-events-for-num-timesteps.json),"If set to true (1), then the waning effect values, as specified in the Effect_List list of objects for the WaningEffectCombo classes, are added together. If set to false (0), the waning effect values are multiplied. The resulting waning effect value cannot be greater than 1."
Demographic_Coverage,float,0,1,1,[example](../json/campaign-incidenceeventcoordinator-demographic-coverage.json),The fraction of individuals in the target demographic that are counted.
Event_To_Broadcast,string,NA,NA,"""""",[example](../json/campaign-incidenceeventcoordinator-event-to-broadcast.json),The action event to occur when the specified trigger value in the **Threshold** parameter is met. At least one action must be defined for **Event_To_Broadcast**. The events contained in the list can be built-in events (see [Event list](parameter-campaign-event-list.md) for possible events).
Event_Type,string,NA,NA,INDIVIDUAL,[example](../json/campaign-incidenceeventcoordinator-event-type.json),The type of event to be broadcast.  Possible values are:<br>* COORDINATOR<br>* INDIVIDUAL<br>* NODE
Incidence_Counter,array of json objects,NA,NA,NA,[example](../json/campaign-incidenceeventcoordinator-incidence-counter.json),"List of JSON objects for specifying the conditions and parameters that must be met for an incidence to be counted. Some of the values are specified in the following parameters: **Count_Events_For_Num_Timesteps**, **Trigger_Condition_List**, **Node_Property_Restrictions**."
Node_Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-incidenceeventcoordinator-node-property-restrictions.json),"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information."
Number_Repetitions,integer,-1,10000,1,[example](../json/campaign-incidenceeventcoordinator-number-repetitions.json),"The number of times an intervention is given, used with **Timesteps_Between_Repetitions**. A value of -1 implies an infinite number of repetitions."
Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-incidenceeventcoordinator-property-restrictions.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator."
Property_Restrictions_Within_Node,array of json objects,NA,NA,NA,[example](../json/campaign-incidenceeventcoordinator-property-restrictions-within-node.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both."
Responder,array of json objects,NA,NA,NA,[example](../json/campaign-incidenceeventcoordinator-responder.json),"List of JSON objects for specifying the threshold type, values, and the actions to take when the specified conditions and parameters have been met, as configured in the **Incidence_Counter** parameter. Some of the values are specified in the following parameters:<br>* **Threshold_Type**<br>* **Action_List**<br>* **Threshold**<br>* **Event_To_Broadcast**"
Target_Age_Max,float,-3,9.32E+35,9.32E+35,[example](../json/campaign-incidenceeventcoordinator-target-age-max.json),"The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
Target_Age_Min,float,0,9.3228e+35,0,[example](../json/campaign-incidenceeventcoordinator-target-age-min.json),"The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
Target_Demographic,enum,NA,NA,Everyone,[example](../json/campaign-incidenceeventcoordinator-target-demographic.json),The target demographic group. Possible values are:<br>* Everyone<br>* ExplicitAgeRanges<br>* ExplicitAgeRangesAndGender<br>* ExplicitGender<br>* ExplicitDiseaseState
Target_Gender,enum,NA,NA,All,[example](../json/campaign-incidenceeventcoordinator-target-gender.json),Specifies the gender restriction for the intervention. Possible values are:<br>* Male<br>* Female<br>* All
Target_Residents_Only,boolean,0,1,0,[example](../json/campaign-incidenceeventcoordinator-target-residents-only.json),"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence)."
Targeting_Config,json object,NA,NA,NA,[example](../json/campaign-incidenceeventcoordinator-targeting-config.json),Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md).
Threshold,float,0,3.40282e+38,0,[example](../json/campaign-incidenceeventcoordinator-threshold.json),The threshold value that triggers the specified action for the **Event_To_Broadcast** parameter. When you use the **Threshold** parameter you must also use the **Event_To_Broadcast** parameter.
Threshold_Type,enum,NA,NA,COUNT,[example](../json/campaign-incidenceeventcoordinator-threshold-type.json),Threshold type to indicate how **Responder** handles the count of events from **Incidence_Counter** and the thresholds in **Action_List**. Possible values are:<br>* COUNT<br>* PERCENTAGE.
Timesteps_Between_Repetitions,integer,-1,1000,-1,[example](../json/campaign-incidenceeventcoordinator-timesteps-between-repetitions.json),The repetition interval.
Trigger_Condition_List,array of strings,NA,NA,[],[example](../json/campaign-incidenceeventcoordinator-trigger-condition-list.json),A list of events that will trigger an intervention.
