Parameter,Type,Min,Max,Default,Example,Description
Blocking_Config,json object,NA,NA,NA,[example](../json/campaign-multiinsecticideusagedependentbednet-blocking-config.json),"Object in the **Insecticides** array, configures the rate of blocking for indoor mosquito feeds on individuals with an ITN. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md)."
Cost_To_Consumer,float,0,999999,3.75,[example](../json/campaign-multiinsecticideusagedependentbednet-cost-to-consumer.json),The unit cost per bednet (unamortized)
Discard_Event,enum,NA,NA,"""""",[example](../json/campaign-multiinsecticideusagedependentbednet-discard-event.json),"The event that is broadcast when an individual discards their bednet, either by replacing an existing net or due to the expiration timer. See [Event list](parameter-campaign-event-list.md) for possible values, or you can use a custom event (defined in the **Custom_Individual_Events** list in the config file)."
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-multiinsecticideusagedependentbednet-disqualifying-properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-multiinsecticideusagedependentbednet-dont-allow-duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Expiration_Period_Constant,float,0,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-constant.json),"The expiration period to use for all bednets, in days, when **Expiration_Period_Distribution** is set to CONSTANT_DISTRIBUTION."
Expiration_Period_Distribution,enum,NA,NA,NOT_INITIALIZED,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-distribution.json),"The distribution type to use for assigning the expiration period to a usage-dependent bednet. Each assigned value is a random draw from the distribution.<br>Possible values are:<br>NOT_INITIALIZED<br>    No distribution set.<br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Expiration_Period_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a uniform distribution with a given minimum and maximum. Set **Expiration_Period_Max** and **Expiration_Period_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is Gaussian (or normal). Values are resampled to ensure >= 0. Set **Expiration_Period_Gaussian_Mean** and **Expiration_Period_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is exponential with a given mean. Set **Expiration_Period_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a Weibull distribution with a given shape and scale. Set **Expiration_Period_Kappa** and **Expiration_Period_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a log-normal distribution with a given mean and width. Set **Expiration_Period_Log_Normal_Mu** and **Expiration_Period_Log_Normal_Sigma**.<br>POISSON_DISTRIBUTION<br>    Use a Poisson distribution with a given mean. Set **Expiration_Period_Poisson_Mean**.<br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Expiration_Period_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two exponential distributions with given means. Set **Expiration_Period_Mean_1**, **Expiration_Period_Mean_2**, and **Expiration_Period_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION."
Expiration_Period_Exponential,float,0,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-exponential.json),"The mean of the expiration period, in days, when **Expiration_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION."
Expiration_Period_Gaussian_Mean,float,0,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-gaussian-mean.json),"The mean of the expiration period, in days, when **Expiration_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION."
Expiration_Period_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-gaussian-std-dev.json),"The standard deviation of the expiration period, in days, when **Expiration_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION."
Expiration_Period_Kappa,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-kappa.json),"The shape value for the expiration period, in days, when **Expiration_Period_Distribution** is set to WEIBULL_DISTRIBUTION."
Expiration_Period_Lambda,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-lambda.json),"The scale value for the expiration period, in days, when **Expiration_Period_Distribution** is set to WEIBULL_DISTRIBUTION."
Expiration_Period_Log_Normal_Mu,float,-3.40282e+38,1.70141e+38,3.40282E+38,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-log-normal-mu.json),"The mean of the expiration period, in days, when **Expiration_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
Expiration_Period_Log_Normal_Sigma,float,-3.40282e+38,1.70141e+38,3.40282E+38,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-log-normal-sigma.json),"The width of the expiration period, in days, when **Expiration_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
Expiration_Period_Max,float,0,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-max.json),"The maximum expiration period, in days, when **Expiration_Period_Distribution** is set to UNIFORM_DISTRIBUTION."
Expiration_Period_Mean_1,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-mean-1.json),"The mean of the first exponential distribution, in days, when **Expiration_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
Expiration_Period_Mean_2,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-mean-2.json),"The mean of the second exponential distribution, in days, when **Expiration_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
Expiration_Period_Min,float,0,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-min.json),"The minimum expiration period, in days, when **Expiration_Period_Distribution** is set to UNIFORM_DISTRIBUTION."
