Parameter,Type,Min,Max,Default,Description
Cost_To_Consumer,float,0,999999,10,The unit cost per vector control (unamortized).
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,bool,NA,NA,0,"If set to true (1), does not allow any new interventions with matching **Intervention_Name** parameter value to be distributed to the node."
Expiration_Period_Constant,float,0,3.4E+38,6,"Each instance will receive this constant/fixed value, in days, for expiration of the trap when **Expiration_Period_Distribution** is set to CONSTANT_DISTRIBUTION."
Expiration_Period_Distribution,enum,NA,NA,NOT_INTIIALIZED,"The distribution type to use for setting the expiration of the trap. Each assigned value is a random draw from the distribution. Possible values are:<br>NOT_INITIALIZED<br>    No distribution set.<br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Expiration_Period_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a uniform distribution with a given minimum and maximum. Set **Expiration_Period_Max** and **Expiration_Period_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is Gaussian (or normal). Values are resampled to ensure >= 0. Set **Expiration_Period_Gaussian_Mean** and **Expiration_Period_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is exponential with a given mean. Set **Expiration_Period_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a Weibull distribution with a given shape and scale. Set **Expiration_Period_Kappa** and **Expiration_Period_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a log-normal distribution with a given mean and standard deviation of the natural log. Set **Expiration_Period_Log_Normal_Mu** and **Expiration_Period_Log_Normal_Sigma**.<br>POISSON_DISTRIBUTION<br>    Use a Poisson distribution with a given mean. Set **Expiration_Period_Poisson_Mean**.<br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Expiration_Period_Proportion_0** and **Expiration_Period_Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two exponential distributions with given means. Set **Expiration_Period_Mean_1**, **Expiration_Period_Mean_2**, and **Expiration_Period_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION."
Expiration_Period_Exponential,float,0,3.4E+38,6,"The mean expiration time of the trap, in days, when **Expiration_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION."
Expiration_Period_Gaussian_Mean,float,0,3.4E+38,6,"The mean expiration time of the trap, in days, when **Expiration_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION."
Expiration_Period_Gaussian_Std_Dev,float,1.18E-38,3.4E+38,1,"The standard deviation of the expiration time of the trap, in days, when **Expiration_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION."
Expiration_Period_Kappa,float,1.18E-38,3.4E+38,1,"The shape value for the expiration time of the trap, in days, when **Expiration_Period_Distribution** is set to WEIBULL_DISTRIBUTION."
Expiration_Period_Lambda,float,1.18E-38,3.4E+38,1,"The scale value for the expiration time of the trap, in days, when **Expiration_Period_Distribution** is set to WEIBULL_DISTRIBUTION."
Expiration_Period_Log_Normal_Mu,float,-3.40E+38,3.4E+38,6,"The mean of the natural log of the expiration time of the trap, in days, when **Expiration_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
Expiration_Period_Log_Normal_Sigma,float,-3.40E+38,3.4E+38,1,"The standard deviation of the natural log of the expiration time of the trap, in days, when **Expiration_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
Expiration_Period_Max,float,0,3.4E+38,1,"The maximum time to expiration of the trap, in days, when **Expiration_Period_Distribution** is set to UNIFORM_DISTRIBUTION."
Expiration_Period_Mean_1,float,1.18E-38,3.4E+38,1,"The mean of the first exponential distribution, in days, when **Expiration_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
Expiration_Period_Mean_2,float,1.18E-38,3.4E+38,1,"The mean of the second exponential distribution, in days, when **Expiration_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
Expiration_Period_Min,float,0,3.4E+38,0,"The minimum time to expiration of the trap, in days, when **Expiration_Period_Distribution** is set to UNIFORM_DISTRIBUTION."
Expiration_Period_Peak_2_Value,float,0,3.4E+38,1,"The expiration value, in days, to assign to the remaining traps when **Expiration_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION."
Expiration_Period_Poisson_Mean,float,0,3.4E+38,6,"The mean of the expiration time of the trap, in days, when **Expiration_Period_Distribution** is set to POISSON_DISTRIBUTION."
