Parameter,Type,Min,Max,Default,Example,Description
Action_List,array of json objects,,,[],[example](../json/campaign-surveillanceeventcoordinator-action-list.json),"An array specifying a list of possible actions to take if a particular threshold is met. An action is taken when the specified threshold value is less than the number of incidents counted. If there are multiple actions listed then the action with the highest threshold value, that is also less than the number of incidents counted, is selected. The list cannot be empty."
Coordinator_Name,string,NA,NA,TriggeredEventCoordinator,[example](../json/campaign-surveillanceeventcoordinator-coordinator-name.json),"The unique identifying coordinator name, which is useful with the output report, ReportSurveillanceEventRecorder.csv."
Count_Events_For_Num_Timesteps,boolean,0,1,1,[example](../json/campaign-surveillanceeventcoordinator-count-events-for-num-timesteps.json),"If set to true (1), then the waning effect values, as specified in the Effect_List list of objects for the WaningEffectCombo classes, are added together. If set to false (0), the waning effect values are multiplied. The resulting waning effect value cannot be greater than 1."
Counter_Event_Type,enum,NA,NA,INDIVIDUAL,[example](../json/campaign-surveillanceeventcoordinator-counter-event-type.json),Type of events that can be included in **Trigger_Condition_List**. Possible values are: <br>* COORDINATOR<br>* INDIVIDUAL<br>* NODE
Counter_Period,float,1,1000,1,[example](../json/campaign-surveillanceeventcoordinator-counter-period.json),"When **Counter_Type** is set to PERIODIC, this is the counter period (in days)."
Counter_Type,enum,NA,NA,PERIODIC,[example](../json/campaign-surveillanceeventcoordinator-counter-type.json),"Counter type used for surveillance of events. The counter is triggered by events in **Start_Trigger_Condition_List** and the counter stops when it receives an event in **Stop_Trigger_Condition_List** or the listening duration expires. Possible values are: <br>PERIODIC<br>    Once triggered, events are counted during the period (in days) as set in **Counter_Period**. At the end of the period, the counter will notify **Responder** with the data accumulated and then start listening again, continuing forever until it is stopped or the duration expires. For example, if the listening duration is 45 days, **Counter_Period** is 30, and the counter is triggered on day 20, it will never complete the counter period and trigger the responder."
Demographic_Coverage,float,0,1,1,[example](../json/campaign-surveillanceeventcoordinator-demographic-coverage.json),The fraction of individuals in the target demographic that are counted.
Duration,float,-1,3.40282e+38,-1,[example](../json/campaign-surveillanceeventcoordinator-duration.json),"The number of days from when the surveillance event coordinator was created by the campaign event. Once the number of days has passed, the delay event coordinator will unregister for events and expire. The default value of '-1' = never expire."
Event_Type,enum,NA,NA,INDIVIDUAL,[example](../json/campaign-surveillanceeventcoordinator-event-type.json),The type of event to be broadcast.  Possible values are:<br>* COORDINATOR<br>* INDIVIDUAL<br>* NODE
Incidence_Counter,array of json objects,NA,NA,NA,[example](../json/campaign-surveillanceeventcoordinator-incidence-counter.json),"List of JSON objects for specifying the conditions and parameters that must be met for an incidence to be counted. Some of the values are specified in the following parameters: **Counter_Type**, **Counter_Period**, **Counter_Event_Type**, **Trigger_Condition_List**, **Node_Property_Restrictions**, **Property_Restrictions_Within_Node**."
Node_Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-surveillanceeventcoordinator-node-property-restrictions.json),"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>You can specify AND and OR combinations of key:value pairs with this parameter."
Percentage_Events_To_Count,array of strings,NA,NA,NA,[example](../json/campaign-surveillanceeventcoordinator-percentage-events-to-count.json),When **Threshold_Type** equals PERCENTAGE_EVENTS then **Percentage_Events_To_Count** lists the events that will be counted for the denominator which will then be used with the specified event for **Trigger_Condition_List** counted for the numerator.
Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-surveillanceeventcoordinator-property-restrictions.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator."
