Parameter,Type,Min,Max,Default,Description
Bodyweight_Exponent,float,0,100000,0,The effect of bodyweight on maximum drug concentration in an individual patient. **Drug_Cmax** is divided by patient bodyweight raised to the power of **Bodyweight_Exponent** to account for the influence of body size on volume of distribution.
Drug_Cmax,float,0,100000,1000,The maximum drug concentration used.<br>!!! note<br>    This parameter and the **Drug_PKPD_C50** parameter must use the same units.
Drug_Decay_T1,float,0,100000,1,"The primary drug decay rate, in days."
Drug_Decay_T2,float,0,100000,1,"The secondary drug decay rate, in days."
Drug_Dose_Interval,float,0,100000,1,"The interval between doses of drugs, in days."
Drug_Fulltreatment_Doses,float,1,100000,3,The number of doses for a full treatment of a drug.
Drug_Gametocyte02_Killrate,float,0,100000,0,The log reduction per day in early-stage gametocytes.
Drug_Gametocyte34_Killrate,float,0,100000,0,The log reduction per day in late-stage gametocytes.
Drug_GametocyteM_Killrate,float,0,100000,0,The log reduction per day in mature [gametocyte](../glossary.md) numbers at saturated drug concentrations.
Drug_Hepatocyte_Killrate,float,0,100000,0,The log reduction in [hepatocyte](../glossary.md) numbers per day.
Drug_PKPD_C50,float,0,100000,100,The concentration at which drug killing rates are half of the maximum.<br>!!! note<br>    This parameter and the **Drug_Cmax** parameter must use the same units.
Drug_Vd,float,0,100000,10,The volume of drug distribution in a pharmacokinetic two compartment model. The first compartment comprises central organs and tissues and the second compartment comprises peripheral tissues. This value is the ratio of the volume of the second compartment to that of the first.
Fractional_Dose_By_Upper_Age,array of json objects,NA,NA,NA,An array to specify the fraction of the adult dose to use for children at various ages. Contains **Upper_Age_In_Years** and **Fraction_Of_Adult_Dose** values. See [example](../json/config-drugs-malaria-fractional-dose-by-upper-age.json).
Fraction_Of_Adult_Dose,float,0,1,NA,The fraction of the adult drug dose given to children below the age defined in **Upper_Age_In_Years**. Set in the **Fractional_Dose_By_Upper_Age** array.
Malaria_Drug_Params,array of json objects,NA,NA,NA,This is an array of JSON objects where each object in the array contains the parameters for an anti-malarial drug. See [example](../json/config-drugs-malaria-malaria-drug-params.json).
Max_Drug_IRBC_Kill,float,5,100000,5,The maximum log reduction in IRBCs per day due to treatment.
PKPD_Model,enum,NA,NA,FIXED_DURATION_CONSTANT_EFFECT,"Determines which pharmacokinetic pharmacodynamic model to use.<br>Possible values are:<br>**FIXED_DURATION_CONSTANT_EFFECT**<br>    This is the simplified model of drug action.  Each dose of the drug has a constant effect for a fixed duration of time, after which the effect is zero.<br>**CONCENTRATION_VERSUS_TIME**<br>    This model of drug action uses continuous pharmacokinetics with two-compartment decay.  Effects of each drug depend on the concentration at that point in time."
Upper_Age_In_Years,float,0,125,NA,"The age, in years, below which children are given a fraction of the adult drug dose, as defined in **Fraction_Of_Adult_Dose**. Note that this parameter can be specified for each drug included in the configuration file, and different fractional doses may be used for different age groups."
