Parameter,Type,Min,Max,Default,Example,Description
Anemia_Mortality_Inverse_Width,float,0.1,1000000,10,[example](../json/config-mortality-malaria-anemia-mortality-inverse-width.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the inverse width relative to threshold value of severe disease turn-on around threshold for anemia."
Anemia_Mortality_Threshold,double,NA,NA,3,[example](../json/config-mortality-malaria-anemia-mortality-threshold.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the inverse width relative to threshold value of mortality turn-on around threshold for hemoglobin count in grams per deciliter (g/dL) at which 50% of individuals die per day."
Anemia_Severe_Inverse_Width,float,0.1,1000000,10,[example](../json/config-mortality-malaria-anemia-severe-inverse-width.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the inverse width relative to threshold value of severe disease turn-on around threshold for anemia."
Anemia_Severe_Threshold,float,0,100,5,[example](../json/config-mortality-malaria-anemia-severe-threshold.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the severe disease threshold level for anemia. Threshold units are in grams per deciliter (g/dL)."
Death_Rate_Dependence,enum,NA,NA,NOT_INITIALIZED,[example](../json/config-mortality-malaria-death-rate-dependence.json),"Determines how likely individuals are to die from natural, non-disease causes. **Enable_Natural_Mortality** must be set to 1. Possible values are:<br>NOT_INITIALIZED<br>    The daily mortality rate is 0, and no one dies from non-disease related causes.<br>NONDISEASE_MORTALITY_BY_AGE_AND_GENDER<br>    The individual's age and gender are taken into account to determine the daily mortality rate.<br>NONDISEASE_MORTALITY_BY_YEAR_AND_AGE_FOR_EACH_GENDER<br>    Gender, age, and year, are all taken into account to determine the daily mortality rate. <br>Properties, rates, and bin sizes can be set for non-disease mortality for each gender in the demographics file (see [complex distributions](parameter-demographics.md#complex-distributions) parameters)."
Enable_Disease_Mortality,boolean,0,1,1,[example](../json/config-mortality-malaria-enable-disease-mortality.json),Controls whether or not individuals are removed from the simulation due to disease deaths.
Enable_Natural_Mortality,boolean,0,1,0,[example](../json/config-mortality-malaria-enable-natural-mortality.json),Controls whether or not individuals are removed from the simulation due to natural (non-disease) deaths. **Enable_Vital_Dynamics** must be set to 1 (true). Use **Death_Rate_Dependence** to set the natural death rate.
Fever_Mortality_Inverse_Width,float,0.1,1000000,10,[example](../json/config-mortality-malaria-fever-mortality-inverse-width.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the inverse width relative to threshold value of mortality turn-on around threshold for fever."
Fever_Mortality_Threshold,double,NA,NA,3,[example](../json/config-mortality-malaria-fever-mortality-threshold.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the fever mortality threshold, in units of degrees Celsius above normal body temperature (defined as 37 C)."
Mortality_Blocking_Immunity_Decay_Rate,float,0,1,0.001,[example](../json/config-mortality-malaria-mortality-blocking-immunity-decay-rate.json),[Note: Not used in MALARIA_SIM]The rate at which mortality-blocking immunity decays after the mortality-blocking immunity offset period. **Enable_Immune_Decay** must be set to 1.
Mortality_Time_Course,enum,NA,NA,DAILY_MORTALITY,[example](../json/config-mortality-malaria-mortality-time-course.json),The method used to calculate disease deaths. **Enable_Disease_Mortality** must be set to 1.<br>Possible values are: <br>DAILY_MORTALITY <br>    Calculated at every time step. <br>MORTALITY_AFTER_INFECTIOUS <br>    Calculated once at the end of the disease duration.
x_Other_Mortality,float,0,3.40E+38,1,[example](../json/config-mortality-malaria-x-other-mortality.json),Scale factor for mortality from causes other than the disease being simulated. Base mortality is provided by the demographics file (see [complex distributions](parameter-demographics.md#complex-distributions) parameters). **Enable_Natural_Mortality** must be set to 1. 
