Parameter,Type,Min,Max,Default,Example,Description
Anemia_Mortality_Inverse_Width,float,0.1,1000000,10,[example](../json/config-symptoms-malaria-anemia-mortality-inverse-width.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the inverse width relative to threshold value of severe disease turn-on around threshold for anemia."
Anemia_Mortality_Threshold,double,NA,NA,3,[example](../json/config-symptoms-malaria-anemia-mortality-threshold.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the inverse width relative to threshold value of mortality turn-on around threshold for hemoglobin count in grams per deciliter (g/dL) at which 50% of individuals die per day."
Anemia_Severe_Inverse_Width,float,0.1,1000000,10,[example](../json/config-symptoms-malaria-anemia-severe-inverse-width.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the inverse width relative to threshold value of severe disease turn-on around threshold for anemia."
Anemia_Severe_Threshold,float,0,100,5,[example](../json/config-symptoms-malaria-anemia-severe-threshold.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the severe disease threshold level for anemia. Threshold units are in grams per deciliter (g/dL)."
Clinical_Fever_Threshold_High,float,0,15,1,[example](../json/config-symptoms-malaria-clinical-fever-threshold-high.json),The fever threshold (in degrees Celsius above normal) to start a clinical incident.
Clinical_Fever_Threshold_Low,float,0,5,1,[example](../json/config-symptoms-malaria-clinical-fever-threshold-low.json),The fever threshold (in degrees Celsius above normal) to end a clinical incident.
Erythropoiesis_Anemia_Effect,float,0,1000,3.5,[example](../json/config-symptoms-malaria-erythropoiesis-anemia-effect.json),The exponential rate of increased red-blood-cell production from reduced red-blood-cell availability.
Fever_Detection_Threshold,float,0.5,5,1,[example](../json/config-symptoms-malaria-fever-detection-threshold.json),"The level of body temperature above normal (defined as 37 C), in degrees Celsius, corresponding to detectable fever. "
Fever_IRBC_Kill_Rate,float,0,1000,0.15,[example](../json/config-symptoms-malaria-fever-irbc-kill-rate.json),"The maximum kill rate for infected red blood cells due to the inflammatory innate immune response. As fever increases above 38.5 degrees Celsius, the kill rate becomes successively higher along a sigmoidal curve approaching this rate."
Fever_Mortality_Inverse_Width,float,0.1,1000000,10,[example](../json/config-symptoms-malaria-fever-mortality-inverse-width.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the inverse width relative to threshold value of mortality turn-on around threshold for fever."
Fever_Mortality_Threshold,double,NA,NA,3,[example](../json/config-symptoms-malaria-fever-mortality-threshold.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the fever mortality threshold, in units of degrees Celsius above normal body temperature (defined as 37 C)."
Fever_Severe_Inverse_Width,float,0.1,1000000,10,[example](../json/config-symptoms-malaria-fever-severe-inverse-width.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the inverse width relative to threshold value of mortality turn-on around threshold for fever."
Fever_Severe_Threshold,float,0,10,1.5,[example](../json/config-symptoms-malaria-fever-severe-threshold.json),"The probability of having severe or fatal malaria is calculated according to three causes: anemia, fever as a pro-inflammatory correlate of cerebral malaria, and total parasite density. The probability associated with each factor is configured with two parameters of a sigmoidal function:<br>probability = 1.0 / ( 1.0 + exp( (threshold-variable) / (threshold/invwidth) ) )<br>This parameter configures the threshold (in degrees Celsius above normal) for fever indicating severe disease."
Min_Days_Between_Clinical_Incidents,float,0,1000000,3,[example](../json/config-symptoms-malaria-min-days-between-clinical-incidents.json),"The number of days with fever below the low-threshold before a new incident can start, when fever again exceeds the high-threshold."
New_Diagnostic_Sensitivity,float,0.0001,100000,0.01,[example](../json/config-symptoms-malaria-new-diagnostic-sensitivity.json),The number of microliters of blood tested to find single parasites in a new diagnostic (corresponds to inverse parasites/microliters sensitivity).
