Parameter,Type,Min,Max,Default,Example,Description
Strain_Name,string,NA,NA,"""""",[example](../json/config-vector-microsporidia-malaria-strain-name.json),A required unique identifier for the microsporidia strain. Must be unique across all species. Cannot be empty or 'NoMicrosporidia'.
Female_To_Egg_Transmission_Probability,float,0,1,0,[example](../json/config-vector-microsporidia-malaria-female-to-egg-transmission-probability.json),Probability that an infected female transmits microsporidia to her eggs during oviposition.
Male_To_Egg_Transmission_Probability,float,0,1,0,[example](../json/config-vector-microsporidia-malaria-male-to-egg-transmission-probability.json),"Probability that a female mated with an infected male transmits microsporidia to her eggs, independent of her own infection status."
Female_To_Male_Transmission_Probability,float,0,1,0,[example](../json/config-vector-microsporidia-malaria-female-to-male-transmission-probability.json),Probability that an infected female transmits microsporidia to an uninfected male during mating.
Male_To_Female_Transmission_Probability,float,0,1,0,[example](../json/config-vector-microsporidia-malaria-male-to-female-transmission-probability.json),Probability that an infected male transmits microsporidia to an uninfected female during mating.
Larval_Growth_Modifier,float,0,3.40E+38,1,[example](../json/config-vector-microsporidia-malaria-larval-growth-modifier.json),Multiplier for daily larval growth rate for larva infected with this particular strain. Values greater than 1.0 accelerate development; values less than 1.0 slow development.
Female_Mortality_Modifier,float,0,3.40E+38,1,[example](../json/config-vector-microsporidia-malaria-female-mortality-modifier.json),Multiplier for female adult mortality rate for vectors infected with this particular strain. Values greater than 1.0 increase mortality (shorter lifespan); values less than 1.0 decrease mortality.
Male_Mortality_Modifier,float,0,3.40E+38,1,[example](../json/config-vector-microsporidia-malaria-male-mortality-modifier.json),Multiplier for male adult mortality rate for vectors infected with this particular strain. Values greater than 1.0 increase mortality (shorter lifespan); values less than 1.0 decrease mortality.
Duration_To_Disease_Acquisition_Modification,JSON object,NA,NA,NA,[example](../json/config-vector-microsporidia-malaria-duration-to-disease-acquisition-modification.json),Time-dependent modifier for disease acquisition probability for vectors infected with this particular strain. It is a dictionary of arrays where **Times** represent days since microsporidia infection (ascending order) and **Values** represent probability multipliers (0-1). The model uses linear interpolation for times not explicitly defined; times beyond the maximum retain the last value.
Duration_To_Disease_Transmission_Modification,JSON object,NA,NA,NA,[example](../json/config-vector-microsporidia-malaria-duration-to-disease-transmission-modification.json),Time-dependent modifier for disease transmission probability for vectors infected with this particular strain. It is a dictionary of arrays where **Times** represent days since microsporidia infection (ascending order) and **Values** represent probability multipliers (0-1). The model uses linear interpolation for times not explicitly defined; times beyond the maximum retain the last value.
